TMS Name,DC Alias,Market,State
HOME DEPOT PRO- ALABASTER,PRO286-Alabaster,Alabaster,AL
HD Supply-04-HDS#2162,AL04-Birmingham,Birmingham,AL
FM-HDS DC-BIRMINGHAM-AL04,AL04-Birmingham,Birmingham,AL
FM-HD Supply DC-BIRMINGHAM,AL04-Birmingham,Birmingham,AL
FM-BIRMINGHAM-Longbow Transportation,AL04-Birmingham,Birmingham,AL
HOME DEPOT PRO- ALABASTER,PRO286-Alabaster,Alabaster,AL
FM-MADISON-TQL Logistics,AL030-Huntsville,Huntsville,AL
HOME DEPOT PRO- HUNTSVILLE,PRO297-Huntsville,Huntsville,AL
HOME DEPOT PRO- HUNTSVILLE,PRO297-Huntsville,Huntsville,AL
FM-HUNTSVILLE-TQL Logistics,AL036-Huntsville,Huntsville,AL
MAGNOLIA DISTRIBUTION,AL027-Montgomery,Montgomery,AL
FM-MONTGOMERY-CH Robinson,AL027-Montgomery,Montgomery,AL
Mobile Cross Dock,AL028-Mobile,Mobile,AL
FM-HDS XD-MOBILE,AL028-Mobile,Mobile,AL
FM-HD Supply XD-MOBILE,AL028-Mobile,Mobile,AL
HD Supply Birmingham Fulfillment DC,AL04-Birmingham,Birmingham,AL
HDPROTX3,PRO803-Little Rock,Little Rock,AR
FM-LITTLE ROCK-TQL,AR012-Little Rock,Little Rock,AR
FM-HDS XD-LITTLE ROCK,AR012-Little Rock,Little Rock,AR
FM-HD Supply XD-LITTLE ROCK,AR012-Little Rock,Little Rock,AR
Home Depot Pro Phoenix,PRO246-Phoenix,Phoenix,AZ
Home Depot Pro,Fix TMS,Fix TMS,AZ
HD Supply-17-HDS#2610,AZ17-Phoenix,Phoenix,AZ
FM-PHOENIX-Public Special,AZ17-Phoenix,Phoenix,AZ
FM-HDS DC-PHOENIX-AZ17,AZ17-Phoenix,Phoenix,AZ
FM-HD Supply-DC-PHOENIX,AZ17-Phoenix,Phoenix,IL
FM-HD Supply DC-PHOENIX,AZ17-Phoenix,Phoenix,AZ
FM-PHOENIX-OFFSITE,AZ17-Phoenix,Phoenix,AZ
FM-HD Supply DC-PHOENIX - OFFSITE,AZ17-Phoenix,Phoenix,AZ
Home Depot Pro Tolleson,PRO246-Phoenix,Phoenix,AZ
HOME DEPOT PRO- PHOENIX,PRO246-Phoenix,Phoenix,AZ
Home Depot Pro - Tolleson,PRO246-Phoenix,Phoenix,AZ
HDPROAZ-D,PRO246-Phoenix,Phoenix,AZ
FM-TUCSON-Central Arizona Freight,AZ097-Tucson,Tucson,AZ
FM-TUCSON-Cross dock,AZ097-Tucson,Tucson,AZ
FM-HDS XD-TUCSON,AZ097-Tucson,Tucson,AZ
FM-HD Supply XD-TUCSON,AZ097-Tucson,Tucson,AZ
Phoenix Fulfillment DC,AZ17-Phoenix,Phoenix,AZ
HOME DEPOT PRO- COMMERCE 238,PRO238-Commerce,Commerce,CA
HOME DEPOT PRO- COMMERCE 238,PRO238-Commerce,Commerce,CA
HOME DEPOT PRO- COMMERCE,PRO238-Commerce,Commerce,CA
HDP #3375 COMMERCE,PRO238-Commerce,Commerce,CA
FM-VALENCIA-Public Special,CA263-San Fernando,San Fernando,CA
FM-HDS XD-VALENCIA,CA263-San Fernando,San Fernando,CA
FM-HD Supply XD-VALENCIA,CA263-San Fernando,San Fernando,CA
HD Supply-City of Industry-IFC,ZZ81-LA Metro IFC,LA Metro IFC,CA
THD PRO- JURUPA VALLEY,PRO199-Jurupa Valley,Jurupa Valley,CA
HOME DEPOT PRO- JURUPA VALLEY,PRO199-Jurupa Valley,Jurupa Valley,CA
HDP #3256 MIRA LOMA,PRO199-Jurupa Valley,Jurupa Valley,CA
FM-HD Supply-LOS ANGELES Overflow Facility,CA20-LA Metro,LA Metro,CA
FM-HD Supply OF-LOS ANGELES,CA20-LA Metro,LA Metro,CA
Los Angeles Fulfillment DC,CA20-LA Metro,LA Metro,CA
FM-Los Angeles-Linehaul,CA20-LA Metro,LA Metro,CA
FM-HDS DC-LOS ANGELES-CA20,CA20-LA Metro,LA Metro,CA
FM-HDS DC-LOS ANGELES-CA20,CA20-LA Metro,LA Metro,CA
FM-HD Supply LH DC-CITY OF INDUSTRY,CA20-LA Metro,LA Metro,CA
FM-HD Supply DC-LOS ANGELES,CA20-LA Metro,LA Metro,CA
FM-HD Supply DC-CITY OF INDUSTRY,CA20-LA Metro,LA Metro,CA
FM-HD Supply DC-CITY OF INDUSTRY,CA20-LA Metro,LA Metro,CA
CA20 - COI HDS,CA20-LA Metro,LA Metro,CA
San Diego Fulfillment DC,CA01-San Diego,San Diego,CA
FM-SAN DIEGO-Public Special,CA01-San Diego,San Diego,CA
FM-HDS DC-SAN DIEGO-CA01,CA01-San Diego,San Diego,CA
FM-HD Supply DC-SAN DIEGO,CA01-San Diego,San Diego,CA
HOME DEPOT PRO- SAN BERNARDINO RRC,PRO198-San Bernardino,San Bernardino,CA
HOME DEPOT PRO- SAN BERNARDINO RRC,PRO198-San Bernardino,San Bernardino,CA
HOME DEPOT PRO- SAN BERNARDINO RRC,PRO198-San Bernardino,San Bernardino,CA
HOME DEPOT PRO- SAN BERNARDINO RRC,PRO198-San Bernardino,San Bernardino,CA
HOME DEPOT PRO- SAN BERNARDINO RRC,PRO198-San Bernardino,San Bernardino,CA
HOME DEPOT PRO- SAN BERNARDINO,PRO198-San Bernardino,San Bernardino,CA
HOME DEPOT PRO- SAN BERNARDINO,PRO198-San Bernardino,San Bernardino,CA
HDP #3273 SAN BERNARDINO,PRO198-San Bernardino,San Bernardino,CA
FM-OXNARD-Public Special,CA244-Oxnard,Oxnard,CA
FM-HDS XD-OXNARD,CA244-Oxnard,Oxnard,CA
FM-HD Supply XD-OXNARD,CA244-Oxnard,Oxnard,CA
FM-BAKERSFIELD-Dependable Highway,CA321-Bakersfield Xdock,Bakersfield Xdock,CA
HOME DEPOT PRO- BAKERSFIELD,PRO240-Bakersfield,Bakersfield,CA
HDP #3477 BAKERSFIELD,PRO240-Bakersfield,Bakersfield,CA
FM-HDS XD-FRESNO,CA248-Fresno,Fresno,CA
FM-HD Supply XD-FRESNO,CA248-Fresno,Fresno,CA
FM-Fresno,CA294-Fresno,Fresno,CA
FM-FRESNO-Crossdock,CA248-Fresno,Fresno,CA
FM-SALINAS-TQL,CA259-Salinas,Salinas,CA
FM-SALINAS,CA259-Salinas,Salinas,CA
FM-HDS XD-SALINAS,CA259-Salinas,Salinas,CA
FM-HD Supply XD-SALINAS,CA259-Salinas,Salinas,CA
HD Supply-39-HDS#2651,CA49-Hayward,Hayward,CA
Hayward Fulfillment DC,CA49-Hayward,Hayward,CA
FM-HDS DC-HAYWARD-CA49,CA49-Hayward,Hayward,CA
FM-HD Supply DC-HAYWARD,CA49-Hayward,Hayward,CA
FM-HAYWARD-TQL,CA49-Hayward,Hayward,CA
FM-HAYWARD-Gardner Trucking,CA49-Hayward,Hayward,CA
HOME DEPOT PRO- SAN JOSE,PRO236-San Jose,San Jose,CA
HOME DEPOT PRO- SAN JOSE,PRO236-San Jose,San Jose,CA
HDP #3495-2 SAN JOSE,PRO236-San Jose,San Jose,CA
HOME DEPOT PRO - MANTECA,PRO5121-Stockton,Stockton,CA
FM-HDS XD-MANTECA,CA342-Modesto,Modesto,CA
FM-HD Supply XD-MANTECA,CA342-Modesto,Modesto,CA
FM-DC-MANTECA,CA342-Modesto,Modesto,CA
HD SUPPLY - MODESTO,CA342-Modesto,Modesto,CA
FM-PETALUMA-LINEHAUL,CA242-Petaluma,Petaluma,CA
FM-HDS XD-SANTA ROSA,CA242-Petaluma,Petaluma,NJ
FM-HD Supply XD-SANTA ROSA,CA242-Petaluma,Petaluma,NJ
Sacramento Fulfillment DC,CA05-Sacramento,Sacramento,CA
HD Supply-05-HDS#2603,CA05-Sacramento,Sacramento,CA
FM-SACRAMENTO-Public Special,CA05-Sacramento,Sacramento,CA
FM-HDS DC-SACRAMENTO-CA05,CA05-Sacramento,Sacramento,CA
FM-HDS DC-SACRAMENTO-CA05,CA05-Sacramento,Sacramento,CA
FM-HD Supply DC-SACRAMENTO,CA05-Sacramento,Sacramento,CA
FM-HD Supply DC-SACRAMENTO,CA05-Sacramento,Sacramento,CA
Sacramento Off-site,CA05-Sacramento,Sacramento,CA
Sacramento Fulfillment DC - Offsite,CA05-Sacramento,Sacramento,CA
HDP-SACRAMENTO-OFFSITE,CA05-Sacramento,Sacramento,CA
FM-DC-SACRAMENTO-OFFSITE,CA05-Sacramento,Sacramento,CA
CA05 - West Sacramento,CA05-Sacramento,Sacramento,CA
HOME DEPOT PRO- SACRAMENTO 41,PRO041-Sacramento,Sacramento,CA
HOME DEPOT PRO- SACRAMENTO,PRO041-Sacramento,Sacramento,CA
HDP #3261 SACRAMENTO,PRO041-Sacramento,Sacramento,CA
HD Supply-20-HDS#2613,CA20-LA Metro,LA Metro,CA
HOME DEPOT PRO- AURORA,PRO273-Aurora,Aurora,CO
HOME DEPOT PRO- AURORA,PRO273-Aurora,Aurora,CO
HDP #3257 AURORA,PRO273-Aurora,Aurora,CO
HDP - DENVER LDC,PRO273-Aurora,Aurora,CO
HD Supply-11-HDS#2606,CO11-Denver,Denver,CO
FM-HDS DC-DENVER-CO11,CO11-Denver,Denver,CO
FM-HD Supply DC-DENVER,CO11-Denver,Denver,CO
FM-DENVER-TQL,CO11-Denver,Denver,CO
HD SUPPLY CO79,CO79-Colorado Springs Cross Dock,Colorado Springs Cross Dock,CO
HOME DEPOT PRO- COLORADO SPRINGS,CO080-Colorado Springs Cross Dock,Colorado Springs Cross Dock,CO
Denver Fulfillment DC,CO11-Denver,Denver,CO
FM-WINDSOR LOCKS-Mark IV Transportation,CT008-Hartford,Hartford,CT
FM-HDS XD-WINDSOR LOCKS,CT008-Hartford,Hartford,CT
FM-HD Supply XD-WINDSOR LOCKS,CT008-Hartford,Hartford,CT
HD PRO JACKSONVILLE,PRO208-Jacksonville,Jacksonville,FL
Jacksonville Fulfillment Center,FL29-Jacksonville,Jacksonville,FL
HD Supply-29-HDS#2165,FL29-Jacksonville,Jacksonville,FL
FM-JACKSONVILLE-JB Hunt,FL29-Jacksonville,Jacksonville,FL
FM-HDS DC-JACKSONVILLE-FL29,FL29-Jacksonville,Jacksonville,FL
FM-HD Supply DC-JACKSONVILLE,FL29-Jacksonville,Jacksonville,FL
HOME DEPOT PRO- JACKSONVILLE RRC,PRO208-Jacksonville,Jacksonville,FL
HOME DEPOT PRO- JACKSONVILLE 289,PRO208-Jacksonville,Jacksonville,FL
HOME DEPOT PRO- JACKSONVILLE 175,PRO208-Jacksonville,Jacksonville,FL
HOME DEPOT PRO- JACKSONVILLE,PRO208-Jacksonville,Jacksonville,FL
HOME DEPOT PRO JACKSONVILLE,PRO208-Jacksonville,Jacksonville,FL
HDP-JACKSONVILLE (Pritch),PRO208-Jacksonville,Jacksonville,FL
HDP #3347 JACKSONVILLE,PRO208-Jacksonville,Jacksonville,FL
HDP #3347 JACKSONVILLE,PRO208-Jacksonville,Jacksonville,FL
HDP #3227-2 JACKSONVILLE,PRO208-Jacksonville,Jacksonville,FL
HDP #3227-2 JACKSONVILLE,PRO208-Jacksonville,Jacksonville,FL
HDP #3227-1 JACKSONVILLE,PRO208-Jacksonville,Jacksonville,FL
HD Supply Jacksonville,FL29-Jacksonville,Jacksonville,FL
HOME DEPOT PRO- JACKSONVILLE RRC,PRO208-Jacksonville,Jacksonville,FL
HOME DEPOT PRO- JACKSONVILLE RRC,PRO208-Jacksonville,Jacksonville,FL
HOME DEPOT PRO- JACKSONVILLE 208,PRO208-Jacksonville,Jacksonville,FL
FM-TALLAHASSEE-Supersonic of Florida,FL248-Tallahassee,Tallahassee,FL
FM-PENSACOLA-CH Robinson,FL264-Pensacola,Pensacola,FL
FM-HDS XD-PENSACOLA,FL264-Pensacola,Pensacola,FL
FM-HD Supply XD-PENSACOLA,FL264-Pensacola,Pensacola,FL
Orlando Fulfillment Center DC,FL45-Orlando,Orlando,FL
HD Supply-43-HDS#2647,FL45-Orlando,Orlando,FL
FM-ORLANDO-JB Hunt,FL45-Orlando,Orlando,FL
FM-HDS DC-ORLANDO-FL45,FL45-Orlando,Orlando,FL
FM-HD Supply DC-ORLANDO,FL45-Orlando,Orlando,FL
HOME DEPOT PRO- ORLANDO,PRO290-Orlando,Orlando,FL
HOME DEPOT PRO- ORLANDO,PRO290-Orlando,Orlando,FL
HOME DEPOT PRO- ORLANDO PRO CENTER,PRO290-Orlando,Orlando,FL
Miami Fulfillment Center DC,FL19-Miami,Miami,FL
FM-Miami-Linehaul,FL19-Miami,Miami,FL
FM-HDS DC-MIAMI-FL19,FL19-Miami,Miami,FL
FM-HD Supply DC-MIAMI,FL19-Miami,Miami,FL
HOME DEPOT PRO- POMPANO BEACH OFFSITE,PRO154-Pompano Beach,Pompano Beach,FL
HOME DEPOT PRO- POMPANO BEACH,PRO154-Pompano Beach,Pompano Beach,FL
HOME DEPOT PRO- POMPANO BEACH,PRO154-Pompano Beach,Pompano Beach,FL
HD Supply-16-HDS#2163,FL16-Tampa,Tampa,FL
HD SUPPLY TAMPA,FL16-Tampa,Tampa,FL
FM-TAMPA-Linehaul,FL16-Tampa,Tampa,FL
FM-HD Supply DC-TAMPA,FL16-Tampa,Tampa,FL
HOME DEPOT PRO- TAMPA,PRO215-Tampa,Tampa,FL
FM-LAKELAND-Exxact Express,FL14-Lakeland,Lakeland,FL
FM-HDS DC-LAKELAND-FL14,FL14-Lakeland,Lakeland,FL
FM-HD Supply LH DC-LAKELAND,FL14-Lakeland,Lakeland,FL
FM-HD Supply DC-LAKELAND,FL14-Lakeland,Lakeland,FL
FM-FT MYERS-Shore to Shore,FL262-Fort Myers,Fort Myers,FL
FM-HDS XD-FORT MYERS,FL262-Fort Myers,Fort Myers,FL
FM-HD Supply XD-FORT MYERS,FL262-Fort Myers,Fort Myers,FL
HOME DEPOT PRO- FORT MYERS,PRO282-Fort Myers,Fort Myers,FL
HOME DEPOT PRO- FORT MYERS,PRO282-Fort Myers,Fort Myers,FL
HOME DEPOT PRO- TALLAHASSEE,FL248-Tallahassee,Tallahassee,FL
FM-HDS XD-TALLAHASSEE,FL248-Tallahassee,Tallahassee,FL
FM-HD Supply XD-TALLAHASSEE,FL248-Tallahassee,Tallahassee,FL
Facilities Maintenance Core  (Southeast Region),FL248-Tallahassee,Tallahassee,FL
HD Supply-19-HDS#2612,FL19-Miami,Miami,FL
Tampa Fulfillment Center DC,FL16-Tampa,Tampa,FL
FM-HDS DC-TAMPA-FL16,FL16-Tampa,Tampa,FL
Lakeland Fulfillment Center DC,FL14-Lakeland,Lakeland,FL
HD Supply-14-HDS#2608,FL14-Lakeland,Lakeland,FL
Peachtree Business Solutions-HDS#2191,GA07-Marietta,Marietta,GA
FM-HDS DC-MARIETTA-GA07,GA07-Marietta,Marietta,GA
FM-HD Supply DC-MARIETTA,GA07-Marietta,Marietta,GA
FM-HD Supply-NORCROSS Overflow Facility,GA02-Atlanta,Atlanta,GA
HD Supply - Atlanta Offsite,GA02-Atlanta,Atlanta,GA
Forest Park,GA02-Atlanta,Atlanta,GA
HD Supply-Forest Park-IFC,ZZ84-Atlanta IFC,Atlanta IFC,GA
USABB-914-HDS#2166,GA02-Atlanta,Atlanta,GA
HD Supply-02-HDS#26010,GA02-Atlanta,Atlanta,GA
FM-HDS DC-ATLANTA-GA02,GA02-Atlanta,Atlanta,GA
FM-HD Supply DC-ATLANTA,GA02-Atlanta,Atlanta,GA
FM-Atlanta-Offsite,GA02-Atlanta,Atlanta,GA
FM-Atlanta-Linehaul,GA02-Atlanta,Atlanta,GA
Atlanta Fulfillment DC,GA02-Atlanta,Atlanta,GA
Atlanta Fulfillment DC,GA02-Atlanta,Atlanta,GA
Atlanta Fulfillment Center DC,GA02-Atlanta,Atlanta,GA
PRO DORAVILLE,PRO006-Doraville,Doraville,GA
HOME DEPOT PRO- DORAVILLE,PRO006-Doraville,Doraville,GA
HOME DEPOT PRO- DORAVILLE,PRO006-Doraville,Doraville,GA
HDP #3277 ATLANTA,PRO006-Doraville,Doraville,GA
DORAVILLE,PRO006-Doraville,Doraville,GA
Maersk WnD Services,ZZ84-Savannah Maersk,Savannah Maersk,GA
Maersk,ZZ84-Savannah Maersk,Savannah Maersk,GA
FM-SAVANNAH-LTAG,GA041-Savannah,Savannah,GA
FM-HDS XD-SAVANNAH,GA041-Savannah,Savannah,GA
FM-HD Supply XD-SAVANNAH,GA041-Savannah,Savannah,GA
HDS Marietta Fulfillment DC,GA07-Marietta,Marietta,GA
HOME DEPOT SUPPLY,PRO006-Doraville,Doraville,GA
FM-HDS XD-CLIVE,IA011-Des Moines,Des Moines,IA
FM-HD Supply XD-CLIVE,IA011-Des Moines,Des Moines,IA
FM-CLIVE-TQL Logistics,IA011-Des Moines,Des Moines,IA
HOME DEPOT PRO- DAVENPORT,PRO125-Davenport,Davenport,IA
HOME DEPOT PRO- LOMBARD,PRO207-Lombard,Lombard,IL
HOME DEPOT PRO- LOMBARD,PRO207-Lombard,Lombard,IL
HDP #3259 LOMBARD,PRO207-Lombard,Lombard,IL
FM-HDS DC-CHICAGO-IL30,IL30-Chicago,Chicago,IL
FM-HD Supply DC-CHICAGO,IL30-Chicago,Chicago,IL
FM-Chicago-Linehaul,IL30-Chicago,Chicago,IL
FM-HD Supply-NORTHLAKE Overflow Facility,IL30-Chicago WD,Chicago WD,IL
FM-HD Supply-NORTHLAKE Overflow Facility,IL30-Chicago WD,Chicago WD,IL
FM-HD Supply OF-CHICAGO,IL032-WoodDale,WoodDale,IL
Home Depot Monee,Fix TMS,Fix TMS,IL
Home Depot,Fix TMS,Fix TMS,IL
THE HOME DEPOT - BOLINGBROOK STORAGE,IL040-Naperville,Naperville,IL
Bolingbrook,IL040-Naperville,Naperville,IL
unknown,IL30-Chicago,Chicago,IL
Naperville,IL30-Chicago,Chicago,IL
HDP NAPERVILLE,IL30-Chicago,Chicago,IL
HD Supply (Storage Warehouse),IL30-Chicago,Chicago,IL
Global Computer Supplies,NAN-Vendor,Vendor,IL
Global Computer Supplies,NAN-Vendor,Vendor,IL
HOME DEPOT PRO- PEORIA,PRO126-Peoria,Peoria,IL
HOME DEPOT PRO- HERRIN,IL039-Herrin,Herrin,IL
